experiment_id,family,config_path,results_file,dataset,backbone,arm,n_seeds,seeds,pair_seed,n_synch,n_self
ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__CB_tsketch,clip,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__CB_tsketch.json,synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005_B4_syncnorm-CB_tsketch.json,ucf101,clip_b32,CB_tsketch,3,7;42;1337,0,2048,64
ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__R3_route,routing,configs/routing/ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__R3_route.json,synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005_R3_route.json,ucf101,clip_b32,R3_route,3,7;42;1337,0,2048,64
ucf101_r18_full_ptfz_official1_noval_fc__B0_linear,resnet18,configs/resnet18/ucf101_r18_full_ptfz_official1_noval_fc__B0_linear.json,synccaps_ucf101_r18_full_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,ucf101,r18_full,B0_linear,3,7;42;1337,0,2048,64
ucf101_r18_full_ptfz_official1_noval_fc__B1_sync,resnet18,configs/resnet18/ucf101_r18_full_ptfz_official1_noval_fc__B1_sync.json,synccaps_ucf101_r18_full_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,ucf101,r18_full,B1_sync,3,7;42;1337,0,2048,64
ucf101_r18_full_ptfz_official1_noval_fc__B4_syncnorm,resnet18,configs/resnet18/ucf101_r18_full_ptfz_official1_noval_fc__B4_syncnorm.json,synccaps_ucf101_r18_full_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,ucf101,r18_full,B4_syncnorm,3,7;42;1337,0,2048,64
ucf101_r50_full_ptfz_official1_noval_fc__B0_linear,resnet18,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc__B0_linear.json,synccaps_ucf101_r50_full_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,ucf101,r50_full,B0_linear,3,7;42;1337,0,2048,64
ucf101_r50_full_ptfz_official1_noval_fc__B1_sync,resnet18,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc__B1_sync.json,synccaps_ucf101_r50_full_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,ucf101,r50_full,B1_sync,3,7;42;1337,0,2048,64
ucf101_r50_full_ptfz_official1_noval_fc__B4_syncnorm,resnet18,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc__B4_syncnorm.json,synccaps_ucf101_r50_full_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,ucf101,r50_full,B4_syncnorm,3,7;42;1337,0,2048,64
ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B0_linear,resnet18,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B0_linear.json,synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc1024_B0_linear-B1_sync-B4_syncnorm.json,ucf101,r50_full,B0_linear,3,7;42;1337,0,2048,64
ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B1_sync,resnet18,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B1_sync.json,synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc1024_B0_linear-B1_sync-B4_syncnorm.json,ucf101,r50_full,B1_sync,3,7;42;1337,0,2048,64
ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B4_syncnorm,resnet18,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B4_syncnorm.json,synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc1024_B0_linear-B1_sync-B4_syncnorm.json,ucf101,r50_full,B4_syncnorm,3,7;42;1337,0,2048,64
ucf101_r50_full_ptfz_official1_noval_fc_oc512__B0_linear,resnet18,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc512__B0_linear.json,synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc512_B0_linear-B1_sync-B4_syncnorm.json,ucf101,r50_full,B0_linear,3,7;42;1337,0,2048,64
ucf101_r50_full_ptfz_official1_noval_fc_oc512__B1_sync,resnet18,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc512__B1_sync.json,synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc512_B0_linear-B1_sync-B4_syncnorm.json,ucf101,r50_full,B1_sync,3,7;42;1337,0,2048,64
ucf101_r50_full_ptfz_official1_noval_fc_oc512__B4_syncnorm,resnet18,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc512__B4_syncnorm.json,synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc512_B0_linear-B1_sync-B4_syncnorm.json,ucf101,r50_full,B4_syncnorm,3,7;42;1337,0,2048,64
ucf101_resnet_pt_official1__B0_linear,fine_tuning,configs/fine_tuning/ucf101_resnet_pt_official1__B0_linear.json,synccaps_ucf101_resnet_pt_official1_B0_linear-B4_syncnorm.json,ucf101,resnet,B0_linear,3,7;42;1337,0,2048,64
ucf101_resnet_pt_official1__B4_syncnorm,fine_tuning,configs/fine_tuning/ucf101_resnet_pt_official1__B4_syncnorm.json,synccaps_ucf101_resnet_pt_official1_B0_linear-B4_syncnorm.json,ucf101,resnet,B4_syncnorm,3,7;42;1337,0,2048,64
ucf101_resnet_pt_official1_noval__B0_linear,fine_tuning,configs/fine_tuning/ucf101_resnet_pt_official1_noval__B0_linear.json,synccaps_ucf101_resnet_pt_official1_noval_B0_linear-B4_syncnorm.json,ucf101,resnet,B0_linear,3,7;42;1337,0,2048,64
ucf101_resnet_pt_official1_noval__B4_syncnorm,fine_tuning,configs/fine_tuning/ucf101_resnet_pt_official1_noval__B4_syncnorm.json,synccaps_ucf101_resnet_pt_official1_noval_B0_linear-B4_syncnorm.json,ucf101,resnet,B4_syncnorm,3,7;42;1337,0,2048,64
ucf101_resnet_ptfz_official1_fc__B0_linear,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_fc__B0_linear.json,synccaps_ucf101_resnet_ptfz_official1_fc_B0_linear-B4_syncnorm-B4_gram.json,ucf101,resnet,B0_linear,3,7;42;1337,0,2048,64
ucf101_resnet_ptfz_official1_fc__B4_gram,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_fc__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_fc_B0_linear-B4_syncnorm-B4_gram.json,ucf101,resnet,B4_gram,3,7;42;1337,0,2048,64
ucf101_resnet_ptfz_official1_fc__B4_syncnorm,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_fc__B4_syncnorm.json,synccaps_ucf101_resnet_ptfz_official1_fc_B0_linear-B4_syncnorm-B4_gram.json,ucf101,resnet,B4_syncnorm,3,7;42;1337,0,2048,64
ucf101_resnet_ptfz_official1_noval__B4_gram,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_noval__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_noval_B4_gram.json,ucf101,resnet,B4_gram,3,7;42;1337,0,2048,64
ucf101_resnet_ptfz_official1_noval_fc__B0_linear,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B0_linear.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_B0_linear-B4_syncnorm-B4_gram-CB_tsketch.json,ucf101,resnet,B0_linear,3,7;42;1337,0,2048,64
ucf101_resnet_ptfz_official1_noval_fc__B1_sync,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B1_sync.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_B1_sync.json,ucf101,resnet,B1_sync,3,7;42;1337,0,2048,64
ucf101_resnet_ptfz_official1_noval_fc__B3_shuffle,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B3_shuffle.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_B3_shuffle.json,ucf101,resnet,B3_shuffle,3,7;42;1337,0,2048,64
ucf101_resnet_ptfz_official1_noval_fc__B4_gram,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_B0_linear-B4_syncnorm-B4_gram-CB_tsketch.json,ucf101,resnet,B4_gram,3,7;42;1337,0,2048,64
ucf101_resnet_ptfz_official1_noval_fc__B4_gram,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_B4_gram-CB_tsketch.json,ucf101,resnet,B4_gram,6,5;11;19;23;101;2026,0,2048,64
ucf101_resnet_ptfz_official1_noval_fc__B4_syncnorm,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B4_syncnorm.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_B0_linear-B4_syncnorm-B4_gram-CB_tsketch.json,ucf101,resnet,B4_syncnorm,3,7;42;1337,0,2048,64
ucf101_resnet_ptfz_official1_noval_fc__B4_syncnorm,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B4_syncnorm.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_B4_syncnorm.json,ucf101,resnet,B4_syncnorm,3,19;101;2026,0,2048,64
ucf101_resnet_ptfz_official1_noval_fc__CB_tsketch,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__CB_tsketch.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_B0_linear-B4_syncnorm-B4_gram-CB_tsketch.json,ucf101,resnet,CB_tsketch,3,7;42;1337,0,2048,64
ucf101_resnet_ptfz_official1_noval_fc__CB_tsketch,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__CB_tsketch.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_B4_gram-CB_tsketch.json,ucf101,resnet,CB_tsketch,6,5;11;19;23;101;2026,0,2048,64
ucf101_resnet_ptfz_official1_noval_fc__R3_route,routing,configs/routing/ucf101_resnet_ptfz_official1_noval_fc__R3_route.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_R3_route.json,ucf101,resnet,R3_route,6,7;19;42;101;1337;2026,0,2048,64
ucf101_resnet_ptfz_official1_noval_fc_lr0.0005__B4_gram,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc_lr0.0005__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_lr0.0005_B4_gram.json,ucf101,resnet,B4_gram,3,7;42;1337,0,2048,64
ucf101_resnet_ptfz_official1_noval_fc_lr0.0005__B4_syncnorm,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc_lr0.0005__B4_syncnorm.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_lr0.0005_B4_syncnorm-CB_tsketch.json,ucf101,resnet,B4_syncnorm,3,7;42;1337,0,2048,64
ucf101_resnet_ptfz_official1_noval_fc_lr0.0005__CB_tsketch,resnet18,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc_lr0.0005__CB_tsketch.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_lr0.0005_B4_syncnorm-CB_tsketch.json,ucf101,resnet,CB_tsketch,3,7;42;1337,0,2048,64
ucf101_resnet_ptfz_official1_noval_fc_lr0.0005__R3_route,routing,configs/routing/ucf101_resnet_ptfz_official1_noval_fc_lr0.0005__R3_route.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_lr0.0005_R3_route.json,ucf101,resnet,R3_route,3,7;42;1337,0,2048,64
ucf101_resnet_ptfz_official1_noval_fc_nself0_xself__B4_gram,pair_composition,configs/pair_composition/ucf101_resnet_ptfz_official1_noval_fc_nself0_xself__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_nself0_xself_B4_gram.json,ucf101,resnet,B4_gram,3,7;42;1337,0,2048,0
ucf101_resnet_ptfz_official1_noval_fc_nself0_xself_pair1__B4_gram,pair_composition,configs/pair_composition/ucf101_resnet_ptfz_official1_noval_fc_nself0_xself_pair1__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_nself0_xself_pair1_B4_gram.json,ucf101,resnet,B4_gram,3,7;42;1337,1,2048,0
ucf101_resnet_ptfz_official1_noval_fc_nself0_xself_pair2__B4_gram,pair_composition,configs/pair_composition/ucf101_resnet_ptfz_official1_noval_fc_nself0_xself_pair2__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_nself0_xself_pair2_B4_gram.json,ucf101,resnet,B4_gram,3,7;42;1337,2,2048,0
ucf101_resnet_ptfz_official1_noval_fc_nself0_xself_pair3__B4_gram,pair_composition,configs/pair_composition/ucf101_resnet_ptfz_official1_noval_fc_nself0_xself_pair3__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_nself0_xself_pair3_B4_gram.json,ucf101,resnet,B4_gram,3,7;42;1337,3,2048,0
ucf101_resnet_ptfz_official1_noval_fc_nself2048__B4_gram,pair_composition,configs/pair_composition/ucf101_resnet_ptfz_official1_noval_fc_nself2048__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_nself2048_B4_gram.json,ucf101,resnet,B4_gram,3,7;42;1337,0,2048,2048
ucf101_resnet_ptfz_official1_noval_fc_nself2048_pair1__B4_gram,pair_composition,configs/pair_composition/ucf101_resnet_ptfz_official1_noval_fc_nself2048_pair1__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_nself2048_pair1_B4_gram.json,ucf101,resnet,B4_gram,3,7;42;1337,1,2048,2048
ucf101_resnet_ptfz_official1_noval_fc_nself2048_pair2__B4_gram,pair_composition,configs/pair_composition/ucf101_resnet_ptfz_official1_noval_fc_nself2048_pair2__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_nself2048_pair2_B4_gram.json,ucf101,resnet,B4_gram,3,7;42;1337,2,2048,2048
ucf101_resnet_ptfz_official1_noval_fc_nself2048_pair3__B4_gram,pair_composition,configs/pair_composition/ucf101_resnet_ptfz_official1_noval_fc_nself2048_pair3__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_nself2048_pair3_B4_gram.json,ucf101,resnet,B4_gram,3,7;42;1337,3,2048,2048
ucf101_resnet_ptfz_official1_noval_fc_pair1__B4_gram,pair_composition,configs/pair_composition/ucf101_resnet_ptfz_official1_noval_fc_pair1__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_pair1_B4_gram.json,ucf101,resnet,B4_gram,3,7;42;1337,1,2048,64
ucf101_resnet_ptfz_official1_noval_fc_pair2__B4_gram,pair_composition,configs/pair_composition/ucf101_resnet_ptfz_official1_noval_fc_pair2__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_pair2_B4_gram.json,ucf101,resnet,B4_gram,3,7;42;1337,2,2048,64
ucf101_resnet_ptfz_official1_noval_fc_pair3__B4_gram,pair_composition,configs/pair_composition/ucf101_resnet_ptfz_official1_noval_fc_pair3__B4_gram.json,synccaps_ucf101_resnet_ptfz_official1_noval_fc_pair3_B4_gram.json,ucf101,resnet,B4_gram,3,7;42;1337,3,2048,64
